Date,Open,High,Low,Close,Adj Close,Volume
2025-04-03,151.11,152.78,150.39,150.72,150.3,46883400
2025-04-04,148.01,151.07,145.38,145.6,145.2,62259500
2025-04-07,141.55,152.85,140.53,146.75,146.35,76794100
2025-04-08,151.22,152.24,143.03,144.7,144.3,52200200
2025-04-09,144.42,159.55,143.91,158.71,158.27,70406200
2025-04-10,156.54,157.72,149.93,152.82,152.4,48022000
2025-04-11,152.9,157.67,152.82,157.14,156.71,33636200
2025-04-14,160.0,161.72,157.56,159.07,158.63,30333000
2025-04-15,159.13,159.65,155.21,156.31,155.88,27551500
2025-04-16,153.1,155.89,151.51,153.33,152.91,28187400
2025-04-17,154.29,154.68,148.5,151.16,150.74,33046600
2025-04-21,148.88,148.95,146.1,147.67,147.26,26049100
2025-04-22,148.89,152.19,148.54,151.47,151.05,26971800
2025-04-23,155.61,157.53,153.81,155.35,154.92,31128800
2025-04-24,156.15,159.59,155.79,159.28,158.84,45894000
2025-04-25,165.07,166.1,161.04,161.96,161.51,56034000
2025-04-28,162.43,163.15,158.6,160.61,160.17,29745800
2025-04-29,160.32,160.74,157.52,160.16,159.72,26809000
2025-04-30,157.98,159.27,155.4,158.8,158.36,34981100
2025-05-01,160.45,161.95,158.91,161.3,160.86,30203200
2025-05-02,163.41,164.97,161.87,164.03,163.58,25715000
2025-05-05,163.0,165.39,162.72,164.21,163.76,21341800
2025-05-06,162.17,164.8,161.19,163.23,162.78,21277200
2025-05-07,164.08,165.0,147.84,151.38,150.96,127490100
2025-05-08,155.0,155.93,152.9,154.28,153.86,57498700
2025-05-09,154.17,155.05,152.2,152.75,152.33,32435300
2025-05-12,157.49,159.1,156.25,158.46,158.02,44138800
2025-05-13,158.79,160.57,156.16,159.53,159.09,42382100
2025-05-14,159.96,167.0,159.61,165.37,164.91,48755900
2025-05-15,165.84,166.21,162.37,163.96,163.51,33146700
2025-05-16,167.73,169.35,165.62,166.19,165.73,42846900
2025-05-19,164.51,166.64,164.22,166.54,166.08,30426100
2025-05-20,166.43,168.5,162.9,163.98,163.53,46607700
2025-05-21,163.69,173.14,163.56,168.56,168.1,73416000
2025-05-22,171.85,176.77,170.71,170.87,170.4,74864400
2025-05-23,169.06,169.96,167.89,168.47,168.01,35211400
2025-05-27,170.16,173.17,170.0,172.9,172.42,37995700
2025-05-28,173.16,175.27,171.91,172.36,171.89,34784000
2025-05-29,174.0,174.42,170.63,171.86,171.39,29317300
2025-05-30,171.35,172.21,167.44,171.74,171.27,52639900
2025-06-02,167.84,169.87,167.39,169.03,168.56,38612300
2025-06-03,167.49,168.48,165.28,166.18,165.72,45084900
2025-06-04,166.74,168.22,166.36,168.05,167.59,26900800
2025-06-05,170.34,170.93,167.59,168.21,167.75,36379100
2025-06-06,170.83,174.5,170.83,173.68,173.2,35731800
2025-06-09,174.54,176.47,174.37,176.09,175.82,28935900
2025-06-10,176.2,181.11,174.91,178.6,178.32,61766100
2025-06-11,179.77,180.37,176.75,177.35,177.08,31646800
2025-06-12,176.18,176.72,174.75,175.7,175.43,20941900
2025-06-13,172.44,177.13,172.39,174.67,174.4,27663100
2025-06-16,174.73,176.94,174.65,176.77,176.5,27389200
2025-06-17,175.7,177.36,174.58,175.95,175.68,24973000
2025-06-18,176.01,176.56,173.2,173.32,173.05,28707500
2025-06-20,173.95,174.34,165.46,166.64,166.38,75659900
2025-06-23,166.27,167.34,162.0,165.19,164.93,57671000
2025-06-24,166.92,168.22,166.13,166.77,166.51,40524300
2025-06-25,167.63,172.36,167.55,170.68,170.42,35479000
2025-06-26,172.43,173.69,169.94,173.54,173.27,31796700
2025-06-27,173.54,178.68,171.73,178.53,178.25,108140200
2025-06-30,180.78,181.23,174.58,176.23,175.96,63378900
2025-07-01,175.74,176.09,173.53,175.84,175.57,35904500
2025-07-02,175.54,178.86,175.07,178.64,178.36,29128900
2025-07-03,178.5,179.67,177.05,179.53,179.25,21689700
2025-07-07,179.06,179.3,175.68,176.79,176.52,34175600
2025-07-08,177.85,177.95,172.81,174.36,174.09,40442500
2025-07-09,175.25,179.44,172.77,176.62,176.35,43025600
2025-07-10,175.63,178.43,174.38,177.62,177.35,29252400
2025-07-11,176.79,181.43,176.48,180.19,179.91,34282900
2025-07-14,181.01,183.67,179.68,181.56,181.28,32536600
2025-07-15,182.81,184.22,181.6,182.0,181.72,33448300
2025-07-16,183.24,184.33,182.03,182.97,182.69,33104200
2025-07-17,182.14,184.06,180.48,183.58,183.3,31992600
2025-07-18,185.4,186.42,183.71,185.06,184.77,34014500
2025-07-21,186.25,190.29,186.15,190.1,189.81,45803100
2025-07-22,191.5,191.65,187.46,191.34,191.04,44660200
2025-07-23,191.5,192.53,189.18,190.23,189.94,58681900
2025-07-24,197.03,197.95,191.0,192.17,191.87,74881700
2025-07-25,191.98,194.33,191.26,193.18,192.88,39785900
2025-07-28,193.65,194.05,190.84,192.58,192.28,38139500
2025-07-29,192.43,195.92,192.08,195.75,195.45,41389200
2025-07-30,195.6,197.6,194.69,196.53,196.23,32445400
2025-07-31,195.71,195.99,191.09,191.9,191.6,51329200
2025-08-01,189.03,190.83,187.82,189.13,188.84,34832200
2025-08-04,190.29,195.27,190.12,195.04,194.74,31547400
2025-08-05,194.71,197.86,193.89,194.67,194.37,31602300
2025-08-06,194.5,196.63,193.67,196.09,195.79,21562900
2025-08-07,197.06,197.54,194.33,196.52,196.22,26321800
2025-08-08,197.22,202.61,197.17,201.42,201.11,39161800
2025-08-11,200.94,201.48,199.07,201.0,200.69,25832400
2025-08-12,201.37,204.5,200.59,203.34,203.03,30397900
2025-08-13,204.13,204.53,197.51,201.96,201.65,28342900
2025-08-14,201.5,204.44,201.23,202.94,202.63,25230400
2025-08-15,203.85,206.44,201.28,203.9,203.58,34931400
2025-08-18,204.2,205.27,202.49,203.5,203.19,18526600
2025-08-19,203.03,203.44,199.96,201.57,201.26,24240200
2025-08-20,200.73,201.28,196.6,199.32,199.01,28955500
2025-08-21,199.75,202.48,199.43,199.75,199.44,19774600
2025-08-22,202.73,208.54,201.3,206.09,205.77,42827000
2025-08-25,206.43,210.52,205.28,208.49,208.17,29928900
2025-08-26,207.51,207.85,205.7,207.14,206.82,28464100
2025-08-27,205.7,208.91,205.65,207.48,207.16,23022900
2025-08-28,207.25,212.22,206.9,211.64,211.31,32339300
2025-08-29,210.51,214.65,210.2,212.91,212.58,39728400
2025-09-02,208.44,211.68,206.2,211.35,211.02,47523000
2025-09-03,226.21,231.31,224.79,230.66,230.3,103336100
2025-09-04,229.65,232.37,226.11,232.3,231.94,51684200
2025-09-05,232.2,235.76,231.9,235.0,234.64,46588900
2025-09-08,235.47,238.13,233.67,234.04,233.89,32474700
2025-09-09,234.17,240.47,233.23,239.63,239.47,38061000
2025-09-10,238.9,241.66,237.85,239.17,239.01,35141100
2025-09-11,239.88,242.25,236.25,240.37,240.21,30599300
2025-09-12,240.37,242.08,238.0,240.8,240.64,26771600
2025-09-15,244.66,252.41,244.66,251.61,251.45,58383800
2025-09-16,252.08,253.04,249.47,251.16,251.0,34109700
2025-09-17,251.22,251.6,246.28,249.53,249.37,34108000
2025-09-18,251.68,253.99,249.8,252.03,251.87,31239500
2025-09-19,253.25,256.0,251.81,254.72,254.55,55571400
2025-09-22,254.43,255.78,250.3,252.53,252.36,32290500
2025-09-23,253.04,254.36,250.48,251.66,251.5,26628000
2025-09-24,251.66,252.35,246.44,247.14,246.98,28201000
2025-09-25,244.4,246.49,240.74,245.79,245.63,31020400
2025-09-26,247.07,249.42,245.97,246.54,246.38,18503200
