Date,GOOG
2021-04-21,113.8851547241211
2021-04-22,112.62528228759766
2021-04-23,114.9781723022461
2021-04-26,115.54629516601562
2021-04-27,114.57196807861328
2021-04-28,118.18672180175781
2021-04-29,120.6687240600586
2021-04-30,119.68693542480469
2021-05-03,118.94452667236328
2021-05-04,116.91244506835938
2021-05-05,117.03608703613281
2021-05-06,118.25823211669922
2021-05-07,119.11933898925781
2021-05-10,116.28721618652344
2021-05-11,114.65339660644531
2021-05-12,111.19308471679688
2021-05-13,112.32979583740234
2021-05-14,115.02086639404297
2021-05-17,115.2815933227539
2021-05-18,114.38871002197266
2021-05-19,114.65091705322266
2021-05-20,117.00381469726562
2021-05-21,116.45804595947266
2021-05-24,119.51563262939453
2021-05-25,119.63480377197266
2021-05-26,120.8494873046875
2021-05-27,119.30904388427734
2021-05-28,119.75846099853516
2021-06-01,120.66475677490234
2021-06-02,120.24115753173828
2021-06-03,119.413330078125
2021-06-04,121.75479888916016
2021-06-07,122.46642303466797
2021-06-08,123.29873657226562
2021-06-09,123.72332763671875
2021-06-10,125.22306823730469
2021-06-11,124.84217834472656
2021-06-14,125.49320983886719
2021-06-15,125.17637634277344
2021-06-16,124.84217834472656
2021-06-17,125.5120849609375
2021-06-18,124.71405029296875
2021-06-21,125.59552001953125
2021-06-22,126.13631439208984
2021-06-23,125.60198211669922
2021-06-24,126.41688537597656
2021-06-25,126.13185119628906
2021-06-28,125.95755004882812
2021-06-29,125.1619873046875
2021-06-30,124.4642562866211
2021-07-01,125.50960540771484
2021-07-02,127.84410858154297
2021-07-06,128.88897705078125
2021-07-07,129.19338989257812
2021-07-08,128.29901123046875
2021-07-09,128.69381713867188
2021-07-12,129.67660522460938
2021-07-13,130.10418701171875
2021-07-14,131.18478393554688
2021-07-15,130.37429809570312
2021-07-16,130.9493865966797
2021-07-19,128.37548828125
2021-07-20,130.21044921875
2021-07-21,131.69924926757812
2021-07-22,132.42230224609375
2021-07-23,136.87930297851562
2021-07-26,138.6953887939453
2021-07-27,135.86672973632812
2021-07-28,135.45455932617188
2021-07-29,135.6124725341797
2021-07-30,134.3019256591797
2021-08-02,135.06520080566406
2021-08-03,135.35374450683594
2021-08-04,135.1039581298828
2021-08-05,136.00926208496094
2021-08-06,136.1046142578125
2021-08-09,137.06402587890625
2021-08-10,137.15789794921875
2021-08-11,136.753662109375
2021-08-12,137.4488983154297
2021-08-13,137.46531677246094
2021-08-16,137.97183227539062
2021-08-17,136.3673095703125
2021-08-18,135.6417694091797
2021-08-19,135.98294067382812
2021-08-20,137.49609375
2021-08-23,140.14048767089844
2021-08-24,141.43064880371094
2021-08-25,141.97840881347656
2021-08-26,141.15704345703125
2021-08-27,143.56800842285156
2021-08-30,144.48077392578125
2021-08-31,144.47332763671875
2021-09-01,144.85072326660156
2021-09-02,143.23878479003906
2021-09-03,143.79098510742188
2021-09-07,144.52993774414062
2021-09-08,143.8987579345703
2021-09-09,143.9285430908203
2021-09-10,140.95639038085938
2021-09-13,142.4899139404297
2021-09-14,142.43130493164062
2021-09-15,144.21905517578125
2021-09-16,143.39222717285156
2021-09-17,140.50201416015625
2021-09-20,138.07212829589844
2021-09-21,138.69735717773438
2021-09-22,139.9805908203125
2021-09-23,140.862548828125
2021-09-24,141.66355895996094
2021-09-27,140.53924560546875
2021-09-28,135.25840759277344
2021-09-29,133.606689453125
