분야,검색어,회사명,직무명,Gen_AI 언급수,Foundation 언급수,Gen_AI 툴,Foundation 툴,링크
디자인,웹 디자인 UI/UX,에코디엠랩(주),[에코디엠랩] 마케팅본부 웹 디자이너 경력 채용,0,0,,,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52421167&location=ts&searchword=%EC%9B%B9+%EB%94%94%EC%9E%90%EC%9D%B8+UI%2FUX&searchType=search&paid_fl=n&search_uuid=6bb90d57-e6f3-43e4-aa52-86ce1fa45909
디자인,웹 디자인 UI/UX,(주)에스테이트,IT·AI·SW·인공지능 플랫폼 개발 분야 기업별 인턴 채용,0,0,,,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52495530&location=ts&searchword=%EC%9B%B9+%EB%94%94%EC%9E%90%EC%9D%B8+UI%2FUX&searchType=search&paid_fl=n&search_uuid=6bb90d57-e6f3-43e4-aa52-86ce1fa45909
디자인,웹 디자인 UI/UX,(주)이지미디어,웹/모바일 UI/UX 구축디자인 경력직 모집,0,2,,"R, 피그마",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52440949&location=ts&searchword=%EC%9B%B9+%EB%94%94%EC%9E%90%EC%9D%B8+UI%2FUX&searchType=search&paid_fl=n&search_uuid=6bb90d57-e6f3-43e4-aa52-86ce1fa45909
디자인,웹 디자인 UI/UX,(주)미담기획,종합광고대행사 웹디자이너/ 웹퍼블리셔/ 콘텐츠 디자이너 채용,0,2,,"Excel, R",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52448848&location=ts&searchword=%EC%9B%B9+%EB%94%94%EC%9E%90%EC%9D%B8+UI%2FUX&searchType=search&paid_fl=n&search_uuid=6bb90d57-e6f3-43e4-aa52-86ce1fa45909
디자인,웹 디자인 UI/UX,(주)성신상사,[(주)성신상사/레인보우샵] 웹디자이너 경력직 채용,0,0,,,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52471302&location=ts&searchword=%EC%9B%B9+%EB%94%94%EC%9E%90%EC%9D%B8+UI%2FUX&searchType=search&paid_fl=n&search_uuid=6bb90d57-e6f3-43e4-aa52-86ce1fa45909
디자인,웹 디자인 UI/UX,(주)이디엠에듀케이션,(주)이디엠에듀케이션 분야별 대규모 인재 채용(신입/경력),0,0,,,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52472863&location=ts&searchword=%EC%9B%B9+%EB%94%94%EC%9E%90%EC%9D%B8+UI%2FUX&searchType=search&paid_fl=n&search_uuid=6bb90d57-e6f3-43e4-aa52-86ce1fa45909
디자인,웹 디자인 UI/UX,(주)트랜드메카,[1등 명품/시계쇼핑몰] 자체몰 웹디자인/웹퍼블리셔 경력직 모집,0,0,,,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52384497&location=ts&searchword=%EC%9B%B9+%EB%94%94%EC%9E%90%EC%9D%B8+UI%2FUX&searchType=search&paid_fl=n&search_uuid=6bb90d57-e6f3-43e4-aa52-86ce1fa45909
디자인,웹 디자인 UI/UX,(주)시제,웹/앱 UX/UI 설계 및 디자이너 채용,0,2,,"Figma, 데이터",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52167143&location=ts&searchword=%EC%9B%B9+%EB%94%94%EC%9E%90%EC%9D%B8+UI%2FUX&searchType=search&paid_fl=n&search_uuid=6bb90d57-e6f3-43e4-aa52-86ce1fa45909
디자인,웹 디자인 UI/UX,주식회사 라브,[라이브오랄스] 웹디자이너 채용,0,0,,,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52448725&location=ts&searchword=%EC%9B%B9+%EB%94%94%EC%9E%90%EC%9D%B8+UI%2FUX&searchType=search&paid_fl=n&search_uuid=6bb90d57-e6f3-43e4-aa52-86ce1fa45909
디자인,웹 디자인 UI/UX,(주)매스티지,[인천청라지점] 웹디자이너 UI/UX 실력/ 크리에이티브,0,3,,"R, Photoshop, 포토샵",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52380466&location=ts&searchword=%EC%9B%B9+%EB%94%94%EC%9E%90%EC%9D%B8+UI%2FUX&searchType=search&paid_fl=n&search_uuid=6bb90d57-e6f3-43e4-aa52-86ce1fa45909
디자인,웹 디자인 UI/UX,주식회사조인글로벌,"웹/앱 디자이너, 퍼블리셔 채용",0,3,,"Figma, R, Git",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52399951&location=ts&searchword=%EC%9B%B9+%EB%94%94%EC%9E%90%EC%9D%B8+UI%2FUX&searchType=search&paid_fl=n&search_uuid=6bb90d57-e6f3-43e4-aa52-86ce1fa45909
디자인,웹 디자인 UI/UX,(주)에스엘엘,[경력] 생럭슈 패션브랜드 온라인/웹 콘텐츠 디자이너,0,3,,"R, Illustrator, Photoshop",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52468657&location=ts&searchword=%EC%9B%B9+%EB%94%94%EC%9E%90%EC%9D%B8+UI%2FUX&searchType=search&paid_fl=n&search_uuid=6bb90d57-e6f3-43e4-aa52-86ce1fa45909
디자인,웹 디자인 UI/UX,(주)매스티지,웹디자이너 UI/UX 실력/ 크리에이티브/커뮤니케이션능력자모십,0,3,,"R, Photoshop, 포토샵",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52337157&location=ts&searchword=%EC%9B%B9+%EB%94%94%EC%9E%90%EC%9D%B8+UI%2FUX&searchType=search&paid_fl=n&search_uuid=6bb90d57-e6f3-43e4-aa52-86ce1fa45909
디자인,웹 디자인 UI/UX,파인테크소프트 주식회사,웹/모바일 UI/UX 디자이너,0,3,,"Figma, R, 데이터",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52291548&location=ts&searchword=%EC%9B%B9+%EB%94%94%EC%9E%90%EC%9D%B8+UI%2FUX&searchType=search&paid_fl=n&search_uuid=6bb90d57-e6f3-43e4-aa52-86ce1fa45909
