organization,title,category,keywords
윈스펙원격평생교육원,비전공자도 쉽게 배우는 품질관리 AI 데이터분석 실습,데이터분석,"파이썬, numpy, pandas, 수입검사, 공정검사, 출하검사, 기계설비유지, C/S품질관리, TQM"
잇츠캠퍼스,음성인식 서비스 개발을 위한 딥러닝 프로젝트,AI/ML,"python, ann, gpt, bert, bpe, 딥러닝, 토크나이저, 언어모델, transfomer"
패스트캠퍼스,AI 반도체 첫 걸음: LLM과 Computer Vision,AI/ML,"AI반도체, NPU, GPU, 인공지능, MLP, CNN, 비전모델, Warboy"
애드인에듀 IT 아카데미,대기업 엔지니어와 함께하는 생성형AI 활용 서비스 개발 프로젝트 44일 과정 8기,AI서비스,"딥러닝, 자연어처리, 생성모델, 파이썬, FastAPI, 서비스기획, 크롤링, 모델학습, 생성형AI서비스"
패스트캠퍼스,ChatGPT로 10분만에 일잘러 되기 : 기초부터 실무까지 완전 정복,AI서비스,"챗GPT, 엑셀프롬프트, MSCopilot, AICopilot, 노션AI, 데이터파이프라인, 업무자동화"
그린온라인캠프,"챗GPT-랭체인으로 AI 웹서비스 만들기(ChatGPT4, Langchain, Llama Index, Python, Gradio)",AI서비스,"인공지능, ChatGPT4, Langchain, 딥러닝, Prompt, LlamaIndex, Gradio"
패스트캠퍼스,누구나 도전! Cursor AI로 완성하는 실전 프로젝트,AI서비스,"CursorAI, Firebase, 크롬확장프로그램, Make(구Integromat), 랜딩페이지제작, 데이터자동화"
멀티캠퍼스,처음 시작하는 생성형 AI - AI 제대로 활용하기,AI서비스,"AI, ChatGPT"
패스트캠퍼스,AI 기술을 활용한 의료 데이터 분석과 바이오 진단,AI/ML,"ChatGPT, 트랜스포머, 머신러닝, 딥러닝, CNN, GAN, RNN, 의료이미지, 데이터중심"
잇츠캠퍼스,인공지능 한바퀴: 데이터라벨링부터 모델링까지 돌아보기,AI/ML,"Python, PyTorch, CNN, DeepLearning, Tensor, DataLabelling, DataModeling"
멀티캠퍼스,처음 시작하는 생성형 AI - 내게 맞는 AI Tool 찾기,AI서비스,"ChatGPT, AI"
이젠아카데미DX교육센터,"ChatGPT 활용 엑셀 데이터 관리, 문서 자동화",AI서비스,"ChatGPT, 엑셀, PPT, 스프레드시트, 챗GPT"
미라클평생교육원,파이썬으로 배우는 딥러닝 & 인공지능 기초,,"파이썬, 딥러닝기초, 숫자인식AI, 컬러이미지분류AI, 의류분류AI"
미래디지털 원격평생교육원,실무에서 바로 쓰는 AutoML 데이터 분석(feat. AlDUez),데이터분석,"머신러닝, 딥러닝, 데이터분석, 데이터전처리, AIDUez, 머신러닝/딥러닝회귀실습, 머신러닝/딥러닝분류실습"
미래디지털 원격평생교육원,파이썬을 활용한 AI 모델링 실습 (feat. Kaggle Data),AI/ML,"코랩, kaggle, pandas, EDA, 데이터전처리, 데이터시각화, 머신러닝, 분류모델, 회귀모델, 딥러닝"
모두의연구소,데이터 사이언티스트 과정 8기,데이터사이언스,"SQL, 전처리, 통계, ML, DL, NLP, MLOps, 추천시스템"
미라클평생교육원,누구나 쉽게 배우는 AI 업무 자동화 풀코스,AI서비스,"ChatGPT, Gemini, NotebookLM, 프롬프트엔지니어링, 커스텀GPT, AI비서, 멀티모달"
라인원격평생교육원,인공지능 자율주행 시뮬레이션 구현,AI/ML,"머신러닝, 딥러닝, ANN, SQL, 웹크롤링, 회귀분석, 분류분석, CNN, TransferLearning, FineTuning"
모두의연구소,비전공자도 가능한 딥러닝 이미지 분석 모델 구현의 첫시작,데이터분석,"파이썬, 딥러닝, 텐서, 모델학습, 가중치, CNN"
